,Strategy,Symbol,Date,option,Qty,ExpiryDt,Strike,EnTime,BPrice,ExTime,SPrice
64,EMA_15_CE_strategy,NIFTY,2022-04-20,CE,50,2022-04-21,17100,10:30:00,91.25,10:45:00,80.15
65,EMA_15_CE_strategy,NIFTY,2022-04-20,CE,50,2022-04-21,17100,12:15:00,83.05,14:00:00,71.4
66,EMA_15_CE_strategy,NIFTY,2022-04-20,CE,50,2022-04-21,17200,14:45:00,44.55,15:15:00,37.8
67,EMA_15_CE_strategy,NIFTY,2022-04-22,CE,50,2022-04-28,17300,12:45:00,148.6,15:15:00,89.0
68,EMA_15_CE_strategy,NIFTY,2022-04-26,CE,50,2022-04-28,17200,09:45:00,96.3,13:00:00,59.2
69,EMA_15_CE_strategy,NIFTY,2022-04-26,CE,50,2022-04-28,17100,13:30:00,117.25,15:15:00,166.9
70,EMA_15_CE_strategy,NIFTY,2022-04-27,CE,50,2022-04-28,17100,13:45:00,64.65,14:30:00,54.1
71,EMA_15_CE_strategy,NIFTY,2022-04-27,CE,50,2022-04-28,17100,14:45:00,73.0,15:15:00,52.85
72,EMA_15_CE_strategy,NIFTY,2022-04-28,CE,50,2022-04-28,17100,09:45:00,55.7,15:15:00,138.45
73,EMA_15_CE_strategy,NIFTY,2022-05-02,CE,50,2022-05-05,17100,15:00:00,120.0,15:15:00,113.1
74,EMA_15_CE_strategy,NIFTY,2022-05-05,CE,50,2022-05-05,16900,09:45:00,32.75,11:45:00,28.9
75,EMA_15_CE_strategy,NIFTY,2022-05-05,CE,50,2022-05-05,16900,12:45:00,22.45,13:15:00,6.55
76,EMA_15_CE_strategy,NIFTY,2022-05-06,CE,50,2022-05-12,16400,14:15:00,212.0,15:15:00,191.85
77,EMA_15_CE_strategy,NIFTY,2022-05-09,CE,50,2022-05-12,16300,14:45:00,178.0,15:15:00,152.15
78,EMA_15_CE_strategy,NIFTY,2022-05-10,CE,50,2022-05-12,16300,10:30:00,144.1,11:30:00,135.2
79,EMA_15_CE_strategy,NIFTY,2022-05-10,CE,50,2022-05-12,16300,11:45:00,147.1,13:30:00,143.85
80,EMA_15_CE_strategy,NIFTY,2022-05-10,CE,50,2022-05-12,16400,14:15:00,112.0,15:00:00,74.8
81,EMA_15_CE_strategy,NIFTY,2022-05-11,CE,50,2022-05-12,16100,14:00:00,110.2,15:15:00,126.95
82,EMA_15_CE_strategy,NIFTY,2022-05-13,CE,50,2022-05-19,16000,09:45:00,172.25,14:15:00,139.6
83,EMA_15_CE_strategy,NIFTY,2022-05-16,CE,50,2022-05-19,15900,09:45:00,180.35,11:00:00,163.2
84,EMA_15_CE_strategy,NIFTY,2022-05-16,CE,50,2022-05-19,15900,11:15:00,175.45,11:30:00,158.3
85,EMA_15_CE_strategy,NIFTY,2022-05-16,CE,50,2022-05-19,15900,13:45:00,143.8,15:00:00,125.0
86,EMA_15_CE_strategy,NIFTY,2022-05-17,CE,50,2022-05-19,16000,09:45:00,111.3,15:15:00,289.3
