,Date,Time,Ticker,Volume,Open,High,Low,Close,EMA_15,signal,ATMSP
154,2022-04-05,10:30:00,NIFTY-I.NFO,351650,18077.5,18082.85,18022.0,18040.0,18056.82392644204,Sell,0
155,2022-04-05,12:15:00,NIFTY-I.NFO,216100,18087.35,18093.0,18052.05,18064.45,18068.92839696591,Sell,0
156,2022-04-05,12:45:00,NIFTY-I.NFO,105300,18068.0,18086.0,18066.0,18081.0,18070.335803927024,Buy,18100
157,2022-04-05,13:45:00,NIFTY-I.NFO,338900,18147.0,18152.4,18094.0,18094.0,18097.030765436717,Sell,0
158,2022-04-05,15:00:00,NIFTY-I.NFO,589900,18067.0,18075.6,18011.1,18014.3,18076.57190169357,Sell,0
159,2022-04-06,12:30:00,NIFTY-I.NFO,339600,17918.0,17964.5,17918.0,17956.6,17928.47088139858,Buy,18000
160,2022-04-06,12:45:00,NIFTY-I.NFO,294900,17957.5,17963.15,17911.3,17911.3,17926.32452122376,Sell,0
161,2022-04-06,15:00:00,NIFTY-I.NFO,396100,17850.95,17894.8,17849.7,17871.15,17886.57795735692,Sell,0
162,2022-04-07,11:45:00,NIFTY-I.NFO,439150,17783.35,17824.4,17783.35,17823.15,17801.082738597674,Buy,17800
163,2022-04-07,13:15:00,NIFTY-I.NFO,183550,17828.4,17835.6,17806.5,17806.75,17819.406358769524,Sell,0
164,2022-04-07,15:00:00,NIFTY-I.NFO,693800,17718.5,17750.95,17702.3,17720.75,17763.93879290587,Sell,0
165,2022-04-08,10:45:00,NIFTY-I.NFO,221750,17713.75,17747.0,17705.1,17737.7,17734.681016562718,Buy,17700
166,2022-04-08,11:00:00,NIFTY-I.NFO,227600,17737.7,17744.4,17696.0,17702.0,17730.59588949238,Sell,0
167,2022-04-08,11:45:00,NIFTY-I.NFO,430650,17723.0,17769.95,17715.9,17765.0,17731.21404315603,Buy,17800
168,2022-04-08,15:00:00,NIFTY-I.NFO,658600,17912.85,17918.1,17855.0,17857.95,17849.550903198728,Sell,0
169,2022-04-11,12:00:00,NIFTY-I.NFO,302350,17752.0,17772.4,17735.8,17767.9,17765.782733239146,Buy,17800
170,2022-04-11,12:45:00,NIFTY-I.NFO,230600,17728.8,17788.65,17724.1,17788.65,17762.513530275442,Buy,17800
171,2022-04-11,13:45:00,NIFTY-I.NFO,336300,17784.45,17796.65,17760.0,17764.0,17770.868136277182,Sell,0
172,2022-04-11,14:30:00,NIFTY-I.NFO,290650,17787.9,17792.05,17744.0,17744.0,17770.087833482565,Sell,0
173,2022-04-11,15:00:00,NIFTY-I.NFO,613650,17735.65,17744.5,17695.0,17734.8,17761.696935010088,Sell,0
174,2022-04-12,14:00:00,NIFTY-I.NFO,845750,17534.0,17592.95,17530.1,17587.0,17556.404867522313,Buy,17600
175,2022-04-12,15:00:00,NIFTY-I.NFO,506300,17607.45,17614.9,17573.1,17577.75,17576.113595439718,Sell,0
176,2022-04-13,11:30:00,NIFTY-I.NFO,403050,17597.0,17609.0,17551.0,17551.25,17590.947609525552,Sell,0
177,2022-04-13,14:00:00,NIFTY-I.NFO,217300,17527.95,17554.85,17516.15,17553.0,17547.887135539095,Buy,17600
178,2022-04-13,15:00:00,NIFTY-I.NFO,539100,17536.6,17547.5,17510.0,17511.55,17543.81688535873,Sell,0
179,2022-04-18,14:30:00,NIFTY-I.NFO,426800,17194.45,17239.2,17194.45,17235.0,17206.23939001809,Buy,17200
180,2022-04-18,15:00:00,NIFTY-I.NFO,627400,17211.6,17239.3,17183.3,17239.3,17211.2262517326,Sell,0
181,2022-04-19,10:45:00,NIFTY-I.NFO,129600,17235.0,17239.9,17207.0,17207.0,17224.66194258407,Sell,0
182,2022-04-19,12:45:00,NIFTY-I.NFO,199850,17248.1,17258.0,17228.55,17235.0,17246.11849942032,Sell,0
183,2022-04-19,13:15:00,NIFTY-I.NFO,350300,17217.0,17279.3,17214.0,17272.9,17246.390726118683,Buy,17300
184,2022-04-19,14:30:00,NIFTY-I.NFO,433000,17266.55,17272.7,17242.2,17247.9,17257.362546810204,Sell,0
185,2022-04-19,15:00:00,NIFTY-I.NFO,2299800,17160.8,17160.8,16955.05,16988.95,17213.43538740156,Sell,0
186,2022-04-20,09:45:00,NIFTY-I.NFO,517350,17121.9,17147.8,17083.0,17135.95,17135.39670886408,Buy,17100
187,2022-04-20,10:15:00,NIFTY-I.NFO,352450,17131.75,17158.0,17127.0,17138.2,17135.18966772406,Buy,17100
188,2022-04-20,10:30:00,NIFTY-I.NFO,427000,17138.2,17151.8,17100.2,17112.0,17132.29095925855,Sell,0
189,2022-04-20,11:00:00,NIFTY-I.NFO,332800,17107.5,17148.0,17095.1,17142.95,17130.643859432326,Buy,17100
190,2022-04-20,12:00:00,NIFTY-I.NFO,192500,17090.0,17129.0,17087.1,17127.45,17121.547413695564,Buy,17100
191,2022-04-20,13:45:00,NIFTY-I.NFO,674850,17156.0,17171.9,17079.0,17105.0,17143.914819820922,Sell,0
192,2022-04-20,14:30:00,NIFTY-I.NFO,501150,17109.05,17168.3,17088.7,17162.1,17140.07770155972,Buy,17200
193,2022-04-20,15:00:00,NIFTY-I.NFO,392850,17131.25,17175.55,17131.25,17153.3,17140.36027150666,Sell,0
194,2022-04-22,11:00:00,NIFTY-I.NFO,490500,17266.95,17308.05,17256.25,17305.0,17302.969834587973,Buy,17300
195,2022-04-22,12:30:00,NIFTY-I.NFO,267800,17282.05,17315.2,17266.65,17308.1,17299.980157544862,Buy,17300
196,2022-04-22,15:00:00,NIFTY-I.NFO,623800,17182.6,17204.0,17163.3,17182.95,17244.141800229947,Sell,0
197,2022-04-26,09:30:00,NIFTY-I.NFO,473800,17166.5,17185.7,17166.0,17178.85,17011.519352158244,Buy,17200
198,2022-04-26,12:45:00,NIFTY-I.NFO,919200,17149.35,17152.45,17076.45,17084.45,17124.51763658833,Sell,0
199,2022-04-26,13:15:00,NIFTY-I.NFO,526550,17085.0,17130.9,17084.6,17127.0,17120.50569051294,Buy,17100
200,2022-04-26,15:00:00,NIFTY-I.NFO,928200,17130.25,17219.9,17130.25,17214.7,17142.585220566798,Sell,0
201,2022-04-27,13:30:00,NIFTY-I.NFO,394200,17041.85,17063.8,17036.2,17056.65,17043.249871982793,Buy,17100
202,2022-04-27,14:15:00,NIFTY-I.NFO,229800,17070.0,17071.65,17022.75,17047.15,17047.69678923847,Sell,0
203,2022-04-27,14:30:00,NIFTY-I.NFO,474450,17047.2,17112.65,17042.0,17094.6,17053.55969058366,Buy,17100
204,2022-04-27,15:00:00,NIFTY-I.NFO,729000,17091.5,17092.3,17030.0,17051.0,17057.258200603115,Sell,0
205,2022-04-28,09:30:00,NIFTY-I.NFO,209300,17123.35,17128.15,17102.0,17111.0,17071.37858633986,Buy,17100
206,2022-04-28,15:00:00,NIFTY-I.NFO,694250,17292.85,17295.8,17237.75,17238.35,17234.30522838565,Sell,0
207,2022-04-29,15:00:00,NIFTY-I.NFO,2134200,17293.0,17293.0,17101.3,17106.9,17298.65186097323,Sell,0
208,2022-05-02,14:45:00,NIFTY-I.NFO,990100,17010.0,17099.95,17008.05,17080.0,17031.14232742621,Buy,17100
209,2022-05-02,15:00:00,NIFTY-I.NFO,553800,17080.75,17116.45,17060.45,17082.65,17037.580786497932,Sell,0
210,2022-05-04,15:00:00,NIFTY-I.NFO,1058150,16690.0,16751.6,16656.4,16724.25,16839.36256676133,Sell,0
211,2022-05-05,09:30:00,NIFTY-I.NFO,863900,16838.0,16880.0,16830.0,16862.7,16820.224834666493,Buy,16900
212,2022-05-05,11:30:00,NIFTY-I.NFO,707050,16917.15,16921.05,16865.0,16882.85,16886.3532701707,Sell,0
213,2022-05-05,12:30:00,NIFTY-I.NFO,391900,16878.75,16922.9,16867.05,16888.3,16880.42597697262,Buy,16900
214,2022-05-05,13:00:00,NIFTY-I.NFO,484700,16884.85,16894.0,16821.3,16822.0,16873.606607369664,Sell,0
215,2022-05-05,15:00:00,NIFTY-I.NFO,531650,16724.65,16731.4,16677.65,16698.0,16780.722250129053,Sell,0
216,2022-05-06,14:00:00,NIFTY-I.NFO,756200,16415.15,16474.0,16407.0,16444.2,16431.060241132847,Buy,16400
217,2022-05-06,15:00:00,NIFTY-I.NFO,655000,16385.85,16434.0,16376.4,16422.75,16421.009421132803,Sell,0
218,2022-05-09,11:30:00,NIFTY-I.NFO,785400,16234.05,16325.0,16233.5,16314.9,16292.29735542442,Buy,16300
219,2022-05-09,14:30:00,NIFTY-I.NFO,765800,16249.0,16359.75,16241.35,16340.6,16305.185845631524,Buy,16300
220,2022-05-09,15:00:00,NIFTY-I.NFO,662600,16312.7,16336.9,16265.1,16307.6,16307.140725561636,Sell,0
221,2022-05-10,10:15:00,NIFTY-I.NFO,368950,16276.4,16315.0,16267.0,16306.8,16299.84667654095,Buy,16300
222,2022-05-10,11:15:00,NIFTY-I.NFO,225100,16321.7,16331.35,16290.0,16296.15,16306.156120696978,Sell,0
223,2022-05-10,11:30:00,NIFTY-I.NFO,371000,16297.05,16345.9,16289.0,16321.95,16308.130355609856,Buy,16300
224,2022-05-10,13:15:00,NIFTY-I.NFO,621300,16370.0,16376.9,16315.2,16315.2,16343.717389035228,Sell,0
225,2022-05-10,14:00:00,NIFTY-I.NFO,532450,16324.4,16388.25,16317.15,16371.0,16342.965164920084,Buy,16400
226,2022-05-10,14:45:00,NIFTY-I.NFO,930650,16357.2,16362.3,16272.0,16281.95,16336.168460092947,Sell,0
227,2022-05-10,15:00:00,NIFTY-I.NFO,1607050,16285.45,16300.95,16225.6,16244.75,16324.74115258133,Sell,0
228,2022-05-11,13:45:00,NIFTY-I.NFO,492450,16069.65,16125.0,16056.0,16114.6,16109.235398022409,Buy,16100
229,2022-05-11,15:00:00,NIFTY-I.NFO,612900,16194.9,16202.85,16144.3,16165.5,16147.48038130379,Sell,0
230,2022-05-12,15:00:00,NIFTY-I.NFO,1038150,15810.3,15824.4,15757.65,15824.15,15836.119181844422,Sell,0
231,2022-05-13,09:30:00,NIFTY-I.NFO,1022450,16024.2,16036.95,15940.0,15973.85,15870.046253810659,Buy,16000
232,2022-05-13,14:00:00,NIFTY-I.NFO,1257400,16021.0,16035.0,15918.05,15924.0,15999.208604521527,Sell,0
233,2022-05-13,15:00:00,NIFTY-I.NFO,1289500,15854.8,15869.55,15744.7,15762.95,15925.341115589888,Sell,0
234,2022-05-16,09:30:00,NIFTY-I.NFO,669900,15894.9,15949.0,15892.45,15932.0,15896.888066047684,Buy,15900
235,2022-05-16,10:45:00,NIFTY-I.NFO,370750,15940.25,15946.05,15885.5,15912.0,15914.261722597152,Sell,0
236,2022-05-16,11:00:00,NIFTY-I.NFO,232500,15909.25,15947.95,15904.05,15935.4,15916.904007272507,Buy,15900
